id,title,description,link,image_link,availability,price,brand,condition,google_product_category,product_type,shipping,mpn
cadiveu-professional-brasil-cacau-1l,Cadiveu Professional Brasil Cacau Alisante 1L,"Tratamento alisante profissional com óleo de cacau que proporciona cabelos lisos, sedosos e com brilho intenso. Reduz o volume e elimina o frizz por até 4 meses.",https://jchairstudios62.xyz/produto/cadiveu-professional-brasil-cacau-1l,https://jchairstudios62.xyz/images/products/cadiveu/cadiveu-1.png,in stock,195.6 EUR,Cadiveu,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,CAD-BC-1L-001
cadiveu-professional-brasil-cacau-300ml,Cadiveu Professional Brasil Cacau Alisante 300ml,Versão trial do tratamento alisante profissional com óleo de cacau. Ideal para testar o produto ou cabelos mais curtos.,https://jchairstudios62.xyz/produto/cadiveu-professional-brasil-cacau-300ml,https://jchairstudios62.xyz/images/products/cadiveu/cadiveu-2.png,in stock,124.77 EUR,Cadiveu,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,CAD-BC-300-001
forever-liss-btx-zero-formol-250g,Forever Liss BTX Zero Formol 250g,"Botox capilar zero formol que alisa, reconstrói e hidrata profundamente os fios. Resultado natural com redução de volume e frizz.",https://jchairstudios62.xyz/produto/forever-liss-btx-zero-formol-250g,https://jchairstudios62.xyz/images/products/botox/botox_1.png,in stock,20.15 EUR,Forever Liss,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,FL-BTX-250-001
forever-liss-btx-zero-formol-1kg,Forever Liss BTX Zero Formol 1Kg Profissional,"Botox capilar zero formol em tamanho profissional. Ideal para salões e uso intensivo. Alisa, reconstrói e hidrata profundamente os fios.",https://jchairstudios62.xyz/produto/forever-liss-btx-zero-formol-1kg,https://jchairstudios62.xyz/images/products/botox/botox_2.png,in stock,116.95 EUR,Forever Liss,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,FL-BTX-1K-001
btx-professional-premium-01,BTX Professional Premium Reconstruction 01,"Botox capilar premium que reconstrói, alisa e revitaliza os fios intensamente. Fórmula avançada sem formol.",https://jchairstudios62.xyz/produto/btx-professional-premium-01,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8737.png,in stock,31.24 EUR,BTX Pro,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,BP-BTX-001
progressiva-advanced-02,Progressiva Advanced Smooth System 02,Sistema de alisamento avançado que proporciona cabelos perfeitamente lisos com brilho intenso e proteção.,https://jchairstudios62.xyz/produto/progressiva-advanced-02,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8739.png,in stock,145.2 EUR,Smooth System,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,SS-PRO-002
btx-repair-intensive-03,BTX Repair Intensive Treatment 03,Tratamento BTX intensivo especialmente desenvolvido para reparar cabelos extremamente danificados e ressecados.,https://jchairstudios62.xyz/produto/btx-repair-intensive-03,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8740.png,in stock,37.66 EUR,Repair Intensive,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,RI-BTX-003
progressiva-keratin-04,Progressiva Keratin Complex Professional 04,Progressiva enriquecida com complexo de queratina que proporciona máxima suavidade e controle de frizz.,https://jchairstudios62.xyz/produto/progressiva-keratin-04,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8741.png,in stock,128.13 EUR,Keratin Complex,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,KC-PRO-004
btx-collagen-boost-05,BTX Collagen Boost Reconstruction 05,BTX enriquecido com colágeno que reconstrói a fibra capilar e proporciona firmeza e elasticidade aos fios.,https://jchairstudios62.xyz/produto/btx-collagen-boost-05,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8748.png,in stock,34.23 EUR,Collagen Boost,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,CB-BTX-005
progressiva-silk-protein-06,Progressiva Silk Protein Advanced 06,Progressiva avançada com proteína da seda que deixa os cabelos extremamente sedosos e com brilho natural.,https://jchairstudios62.xyz/produto/progressiva-silk-protein-06,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8752.png,in stock,110.44 EUR,Silk Protein,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,SP-PRO-006
btx-vitamin-complex-07,BTX Vitamin Complex Revitalizing 07,"BTX enriquecido com complexo vitamínico que revitaliza, nutre e reconstrói os fios de forma profunda.",https://jchairstudios62.xyz/produto/btx-vitamin-complex-07,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8753.png,in stock,38.9 EUR,Vitamin Complex,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,VC-BTX-007
progressiva-nano-technology-08,Progressiva Nano Technology Ultra 08,Progressiva com nanotecnologia avançada que penetra profundamente na fibra capilar para resultados excepcionais.,https://jchairstudios62.xyz/produto/progressiva-nano-technology-08,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8757.png,in stock,162.8 EUR,Nano Tech,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,NT-PRO-008
btx-argan-oil-09,BTX Argan Oil Luxury Treatment 09,BTX premium enriquecido com óleo de argan puro que proporciona nutrição intensa e brilho excepcional.,https://jchairstudios62.xyz/produto/btx-argan-oil-09,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8758.png,in stock,46.46 EUR,Argan Luxury,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,AL-BTX-009
progressiva-diamond-shine-10,Progressiva Diamond Shine Professional 10,"Progressiva premium que proporciona brilho diamante aos cabelos, deixando-os luminosos e perfeitamente lisos.",https://jchairstudios62.xyz/produto/progressiva-diamond-shine-10,https://jchairstudios62.xyz/images/products/produtos_diversos/IMG-8759.png,in stock,172.04 EUR,Diamond Shine,new,Health & Beauty > Personal Care > Hair Care > Hair Treatments,progressivas-btx,PT::Standard:4.90 EUR,DS-PRO-010
