=== PLANILHA DETALHADA - IMPORTAÇÃO BRASIL → EUROPA ===
"Versão: 2.0 | Data: 2025-10-05 | TRABALHO COM DINHEIRO DO CLIENTE - MÁXIMA PRECISÃO"

=== LEGENDAS E INFORMAÇÕES IMPORTANTES ===

CÂMBIO UTILIZADO:
"R$ 5,50 por €1,00 (média 2025)"
"Variação esperada: R$ 5,00 - R$ 6,00"

CUSTOS FIXOS DE IMPORTAÇÃO (por pedido):
Método,Custo Fixo,Tempo Entrega,Peso Máximo,Observações
DHL Express,€150-200,3-5 dias,30kg,"Rápido, rastreável, confiável"
LATAM Cargo,€80-120,5-7 dias,50kg,"Bom custo-benefício, voos regulares"
Marítimo LCL,€300-500,30-45 dias,100-500kg,"Econômico para grandes volumes"
Correios Brasil,€50-80,15-25 dias,20kg,"Mais barato mas menos confiável"

TAXAS E IMPOSTOS EUROPA:
Alfândega Cosméticos,0%,Produtos de beleza isentos na UE
IVA (VAT),21%,Aplicado sobre valor total (produto + frete)
Desembaraço,€30-50,Taxa de handling aduaneiro
Responsible Person,€500-2000/ano,"Obrigatório para vender cosméticos na UE"
Safety Assessment,€300-1500/produto,"Obrigatório, pode usar um para linha similar"

=== ABA 1: PRODUTOS COM DETALHAMENTO COMPLETO ===

CATEGORIA,PRODUTO,SKU,MARCA,VOLUME,CUSTO BRASIL (R$),CUSTO BRASIL (€),PESO (g),QTD MIN,FORNECEDOR BRASIL,ALTERNATIVA 1,ALTERNATIVA 2,CUSTO FRETE (€),CUSTO TOTAL (€),PREÇO VENDA (€),MARGEM (€),MARGEM %,OBSERVAÇÕES

PROGRESSIVAS & BTX,Brasil Cacau 1L,CAD-BC-1L,Cadiveu,1000ml,R$ 330,€60,1200,1,Cadiveu Oficial,Inoar G.Hair R$ 380,Sweet Hair R$ 420,€20,€85,€195.60,€110.60,56.5%,"Best-seller, alta demanda Europa"
PROGRESSIVAS & BTX,Brasil Cacau 300ml,CAD-BC-300,Cadiveu,300ml,R$ 110,€20,400,1,Cadiveu Oficial,Inoar Mini R$ 95,Forever Liss R$ 85,€8,€30,€73.90,€43.90,59.4%,"Tamanho travel, bom para testes"
PROGRESSIVAS & BTX,Forever Liss BTX 250g,FL-BTX-250,Forever Liss,250g,R$ 75,€13.64,300,1,Forever Liss Store,Cadiveu BTX R$ 90,Inoar BTX R$ 85,€6,€22,€52.90,€30.90,58.4%,"Produto entry-level, ótima margem"
PROGRESSIVAS & BTX,Forever Liss BTX 1kg,FL-BTX-1K,Forever Liss,1000g,R$ 220,€40,1100,1,Forever Liss Store,Hobex BTX R$ 250,Yenzah R$ 240,€18,€62,€162.90,€100.90,61.9%,"Profissional, recompra frequente"
PROGRESSIVAS & BTX,BTX Professional 250g,BTX-PRO-01,Genérico Pro,250g,R$ 65,€11.82,300,3,Atacado SP,Salon Line R$ 70,Skala R$ 55,€6,€20,€52.90,€32.90,62.2%,"Marca própria possível, margem alta"
PROGRESSIVAS & BTX,Progressiva Advanced 300ml,PROG-ADV-02,Linha Pro,300ml,R$ 95,€17.27,400,3,Atacado SP,Beleza Natural R$ 105,Leads Care R$ 90,€8,€28,€73.90,€45.90,62.1%,"Alta rotatividade"
PROGRESSIVAS & BTX,BTX Repair 250g,BTX-REP-03,Linha Pro,250g,R$ 68,€12.36,300,3,Atacado SP,Truss R$ 95,Nuance R$ 75,€6,€21,€52.90,€31.90,60.3%,"Boa aceitação mercado"
PROGRESSIVAS & BTX,Progressiva Keratin 300ml,PROG-KER-04,Keratin Complex,300ml,R$ 98,€17.82,400,2,Hair Brasil,K-Therapy R$ 110,Soller R$ 88,€8,€28,€73.90,€45.90,62.1%,"Premium positioning"
PROGRESSIVAS & BTX,BTX Collagen 250g,BTX-COL-05,Collagen Line,250g,R$ 70,€12.73,300,3,Beauty Supply,Marine Collagen R$ 85,Pro Collagen R$ 78,€6,€21,€52.90,€31.90,60.2%,"Ingrediente em alta"
